complaint_id	text_description	issue_type	department	priority	status	created_time	subcategory	Created_date	closed_date	satisfaction_score	city	district	submission_channel
1	No water supply in Jayanagar since 3 days	water	BWSSB	High	Closed	0.34392361111111114	Low Pressure	1/31/2024	2/6/2024	3.0	Giza	Haram	Call Center
2	Broken water pipe flooding street at Koramangala	water	BWSSB	Critical	In Progress	0.7506597222222222	No Water	11/18/2024			Cairo	Maadi	Website
3	Water contamination issue at MG Road	water	BWSSB	High	Pending	0.0078125	No Water	6/5/2024			Giza	Dokki	Website
4	Broken water pipe flooding street at Whitefield	water	BWSSB	High	Pending	0.4413078703703704	No Water	10/9/2023			Giza	Haram	Mobile App
5	Water contamination issue at Malleshwaram	water	BWSSB	High	In Progress	0.6743865740740741	No Water	7/4/2023			Cairo	Heliopolis	Call Center
6	Broken water pipe flooding street at Koramangala	water	BWSSB	Critical	In Progress	0.4604050925925926	No Water	1/21/2025			Giza	Haram	Mobile App
7	Water contamination issue at Yelahanka	water	BWSSB	High	Closed	0.14792824074074074	No Water	3/8/2025	3/11/2025	4.0	Giza	Dokki	Call Center
8	Water leakage reported at BTM Layout	water	BWSSB	High	Closed	0.5408101851851852	No Water	2/12/2023	2/16/2023	4.0	Giza	Dokki	Call Center
9	Water leakage reported at Jayanagar	water	BWSSB	High	In Progress	0.4583101851851852	Low Pressure	8/6/2023			Cairo	Maadi	Mobile App
10	Water contamination issue at BTM Layout	water	BWSSB	High	In Progress	0.3183564814814815	No Water	2/10/2025			Giza	Mohandessin	Call Center
11	No water supply in Jayanagar since 5 days	water	BWSSB	High	Closed	0.6353009259259259	Leakage	8/13/2024	8/19/2024	3.0	Cairo	Heliopolis	Website
12	Water contamination issue at BTM Layout	water	BWSSB	High	Closed	0.6973842592592593	Leakage	10/8/2025	10/9/2025	5.0	Giza	Haram	Mobile App
13	No water supply in Whitefield since 7 days	water	BWSSB	Critical	Closed	0.37309027777777776	Low Pressure	2/28/2024	3/3/2024	4.0	Cairo	Nasr City	Call Center
14	Water leakage reported at BTM Layout	water	BWSSB	High	Closed	0.5653356481481482	No Water	5/8/2023	5/10/2023	5.0	Giza	Dokki	Call Center
15	Broken water pipe flooding street at MG Road	water	BWSSB	High	Closed	0.465150462962963	Leakage	2/23/2025	2/27/2025	4.0	Giza	Mohandessin	Mobile App
16	No water supply in BTM Layout since 5 days	water	BWSSB	High	Closed	0.40554398148148146	Leakage	4/27/2024	5/5/2024	2.0	Cairo	Maadi	Website
17	Broken water pipe flooding street at BTM Layout	water	BWSSB	Critical	Closed	0.04784722222222222	No Water	1/1/2024	1/3/2024	5.0	Giza	Haram	Website
18	Water leakage reported at Koramangala	water	BWSSB	High	In Progress	0.6559375	No Water	4/11/2024			Cairo	Nasr City	Mobile App
19	No water supply in Koramangala since 2 days	water	BWSSB	High	In Progress	0.944675925925926	No Water	9/28/2023			Giza	Mohandessin	Mobile App
20	No water supply in Malleshwaram since 5 days	water	BWSSB	Critical	Pending	0.9640393518518519	Leakage	8/18/2024			Giza	Mohandessin	Mobile App
21	No water supply in BTM Layout since 6 days	water	BWSSB	Critical	Closed	0.8711574074074074	No Water	3/19/2023	3/24/2023	3.0	Giza	Dokki	Website
22	No water supply in BTM Layout since 5 days	water	BWSSB	Critical	Pending	0.3570601851851852	Low Pressure	7/5/2024			Cairo	Maadi	Call Center
23	Water contamination issue at Indiranagar	water	BWSSB	Critical	Pending	0.4532523148148148	Low Pressure	10/14/2024			Cairo	Nasr City	Mobile App
24	Water contamination issue at Jayanagar	water	BWSSB	High	Pending	0.07428240740740741	Low Pressure	8/20/2023			Giza	Mohandessin	Call Center
25	Broken water pipe flooding street at Malleshwaram	water	BWSSB	Critical	Closed	0.2066087962962963	No Water	7/23/2023	7/29/2023	3.0	Giza	Haram	Call Center
26	No water supply in BTM Layout since 2 days	water	BWSSB	Critical	Pending	0.5109027777777778	Low Pressure	9/17/2024			Giza	Haram	Mobile App
27	No water supply in BTM Layout since 10 days	water	BWSSB	High	Pending	0.9713425925925926	No Water	12/9/2024			Cairo	Maadi	Call Center
28	Broken water pipe flooding street at MG Road	water	BWSSB	Critical	Pending	0.4536921296296296	No Water	10/11/2023			Giza	Haram	Mobile App
29	No water supply in Malleshwaram since 2 days	water	BWSSB	High	Closed	0.9078703703703703	Leakage	11/1/2023	11/10/2023	1.0	Cairo	Heliopolis	Mobile App
30	Water contamination issue at Yelahanka	water	BWSSB	High	Closed	0.4890277777777778	Leakage	7/26/2023	8/2/2023	2.0	Cairo	Heliopolis	Website
31	No water supply in Jayanagar since 8 days	water	BWSSB	High	Closed	0.8916782407407408	Low Pressure	3/22/2025	3/24/2025	5.0	Giza	Dokki	Website
32	No water supply in Indiranagar since 9 days	water	BWSSB	Critical	Pending	0.5103356481481481	No Water	7/24/2024			Cairo	Heliopolis	Mobile App
33	Broken water pipe flooding street at Yelahanka	water	BWSSB	High	Closed	0.010532407407407407	No Water	7/4/2023	7/12/2023	2.0	Cairo	Maadi	Mobile App
34	Water leakage reported at Yelahanka	water	BWSSB	High	Closed	0.4454050925925926	Low Pressure	2/5/2025	2/12/2025	2.0	Cairo	Maadi	Website
35	Water contamination issue at Jayanagar	water	BWSSB	Critical	Closed	0.477650462962963	No Water	11/24/2025	11/27/2025	4.0	Cairo	Heliopolis	Mobile App
36	Broken water pipe flooding street at Koramangala	water	BWSSB	Critical	Pending	0.732175925925926	No Water	5/21/2024			Giza	Haram	Call Center
37	Water contamination issue at BTM Layout	water	BWSSB	Critical	Pending	0.24342592592592593	Low Pressure	5/7/2024			Cairo	Nasr City	Mobile App
38	Water contamination issue at Yelahanka	water	BWSSB	Critical	Pending	0.42193287037037036	Leakage	9/29/2024			Giza	Mohandessin	Call Center
39	Water leakage reported at MG Road	water	BWSSB	Critical	Closed	0.2637615740740741	Low Pressure	5/18/2024	5/24/2024	3.0	Cairo	Heliopolis	Call Center
40	Broken water pipe flooding street at BTM Layout	water	BWSSB	High	Closed	0.1691550925925926	Low Pressure	6/25/2024	7/4/2024	1.0	Giza	Mohandessin	Mobile App
41	No water supply in Yelahanka since 2 days	water	BWSSB	Critical	Closed	0.8182175925925926	Leakage	12/17/2023	12/20/2023	4.0	Giza	Dokki	Call Center
